"JustCoded","JustCoded"
"PCI Auth","PCI Auth"
"Settings","Settings"
"Enabled","Enabled"
"Minimum password length","Minimum password length"
"Please enter %s or more characters. Leading or trailing spaces will be ignored.","Please enter %s or more characters. Leading or trailing spaces will be ignored."
"Number of unsuccessful login attempts for customer lock","Number of unsuccessful login attempts for customer lock"
"Lockout effective period","Lockout effective period"
"in minutes","in minutes"
"Time to reset the failed login attempt counter","Time to reset the failed login attempt counter"
"Last unsuccessful login time","Last unsuccessful login time"
"Unsuccessful login attempt count","Unsuccessful login attempt count"
"Locked","Locked"
"This account is locked because of too much unsuccessful login tries.","This account is locked because of too much unsuccessful login tries."
"Lock time","Lock time"
"Accounts will be deactivated if not active for more than","Accounts will be deactivated if not active for more than"
"Your session was expired","Your session was expired"
"Password History","Password History"
"Password was already used by you some times ago. Use new password.","Password was already used by you some times ago. Use new password."
"Customer Id","Customer Id"
"Password Hash","Password Hash"